symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta
AMZN,20260918,215.0,210.1199951171875,22.95,23.1,25.0,0.0,,,,0.36506646520025837,0.5556266984957121,0.006904258166909404,0.6201339679230813,-0.06619924411701206,23.2,23.4,27.0,5939.0,,,,0.36506646520025837,-0.4606065670971231,0.0072947626115021594,0.618056162885992,-0.044925575291202335
GOOGL,20260320,310.0,310.7,10.6,10.7,1160.0,0.0,0.3183068063168295,0.3231465631713015,0.3207266847440655,0.31925794524885454,0.5348394578454402,0.016011766229246917,0.3099129798652278,-0.23294593072858483,9.2,9.35,970.0,6230.0,0.3156118971051491,0.3204530934868932,0.3180324952960212,0.31925794524885454,-0.465478070685051,0.016143667740966643,0.3098473441306222,-0.20199361671861382
GOOGL,20260320,312.5,310.7,9.3,9.4,534.0,0.0,0.31465017945433593,0.3194555407773303,0.3170528601158331,0.3157958518277046,0.497436737605311,0.016205046273210986,0.31213022924582035,-0.23079142867524816,10.4,10.55,413.0,687.0,0.310275770349964,0.3166894330197388,0.3134826016848514,0.3157958518277046,-0.5058393292549305,0.016375655075057765,0.3118157896570004,-0.19965208814068092
GOOGL,20260821,315.0,310.7,31.3,31.5,10.0,0.0,0.3538426769257759,0.35675834721214994,0.35530051206896296,0.3542263841259275,0.5583406445864223,0.005177464406164322,0.857212516738489,-0.10248458049297327,30.0,30.2,38.0,206.0,0.3526406404544736,0.35439609335620725,0.35351836690534044,0.3542263841259275,-0.45550125864501173,0.005425731414515308,0.8542164468257205,-0.07069715342877458
GOOGL,20260918,310.0,310.7517395019531,36.1,36.3,16.0,0.0,0.3512941255302856,0.353497532634722,0.3523958290825038,0.3534250766116565,0.5894579621693957,0.004741375299500072,0.9074472204255741,-0.09518421391504717,29.15,29.4,1.0,929.0,0.3509127740981858,0.3536681915030993,0.35229048280064257,0.3534250766116565,-0.42442983156823494,0.004979486652892237,0.907003267577597,-0.06401184309754981
GOOGL,20260918,315.0,310.7,33.65,33.85,37.0,0.0,0.3497763237545239,0.35195041555558804,0.35086336965505593,0.3516030570433164,0.5655160127155442,0.0048301168840445595,0.9195536073215393,-0.0952600554072518,31.65,31.9,3.0,877.0,0.3496954893705906,0.35242222889899744,0.351058859134794,0.3516030570433164,-0.44901218804562737,0.005085615375674798,0.9166741786240067,-0.06395293395981838
META,20260320,650.0,650.2000122070312,21.05,21.3,553.0,0.0,0.31214409175974683,0.3159919464424196,0.31406801910108323,0.31214409175974683,0.5278674244137841,0.007859729530647544,0.6497076949997336,-0.47690483613096646,19.6,19.85,390.0,6251.0,0.31203031629781147,0.3151089369309835,0.31356962661439747,0.31214409175974683,-0.47437190830388626,0.007908499045505134,0.649632316489015,-0.410233699496942
META,20260320,652.5,650.2000122070312,19.75,19.95,47.0,0.0,0.3096898765193435,0.31275749858624524,0.3112236875527944,0.3106589400491274,0.5082745130443623,0.007901247788911207,0.6519469161815294,-0.47422523205707634,20.75,21.0,85.0,11.0,0.30886545627440964,0.3127012025438973,0.3107833294091535,0.3106589400491274,-0.49406337607479334,0.007953524975496932,0.6517630897710553,-0.4070599789562337
META,20260327,650.0,650.2000122070312,24.2,24.55,68.0,0.0,0.3127515950208109,0.3168006289824262,0.3147761120016186,0.3127515950208109,0.5314386317096622,0.006858993630802487,0.7408974149626566,-0.4220686028688583,22.25,22.6,55.0,122.0,0.3117198913849999,0.31644565608704556,0.3140827737360227,0.3127515950208109,-0.47197307814153533,0.006934130551346782,0.7406149882708561,-0.3568163961936861
META,20260327,655.0,650.2000122070312,21.55,21.9,24.0,0.0,0.3077361006317708,0.31242721930641476,0.31008165996909276,0.3096206925251228,0.49725606965880037,0.006913797235262748,0.7460088315989104,-0.4188702029479714,24.65,25.05,78.0,54.0,0.3067704823357995,0.3121372191488166,0.309453850742308,0.3096206925251228,-0.506709951474833,0.00699329444544067,0.7452369365057976,-0.35306913150131436
META,20260821,650.0,650.2000122070312,72.3,72.7,4.0,0.0,0.36873361526143045,0.3709901360356882,0.3698618756485593,0.3688707901815182,0.581291635551435,0.0023474097557785543,1.772387455398487,-0.22001577610886613,60.65,60.95,6.0,1456.0,0.3671776153624027,0.3688707901815182,0.36802420277196046,0.3688707901815182,-0.43022900087350796,0.0024450132790917955,1.771505599717706,-0.15482848331132715
META,20260918,650.0,650.2000122070312,77.35,77.75,13.0,0.0,0.3640842956590813,0.3661877126598637,0.3651360041594725,0.36560009705199975,0.5870972523721385,0.0021931772936879704,1.9012741933688773,-0.20414150797073205,64.2,64.7,0.0,2694.0,0.36377710275360464,0.3661442282809188,0.3649606655172617,0.36560009705199975,-0.42601516567041836,0.002297163000169119,1.9006701752266224,-0.13932279097680578
META,20260918,655.0,650.2000122070312,74.85,75.25,4.0,0.0,0.3632685548919774,0.36535892752390176,0.3643137412079396,0.36458935698398015,0.576165710331963,0.0022126550146594165,1.913059156889645,-0.20420494395881406,66.65,67.15,0.0,145.0,0.36288600510660046,0.3655032115459704,0.3641946083262854,0.36458935698398015,-0.4375254490480583,0.0023210542646259495,1.9101668622199242,-0.1390067062130953
AMD,20260320,212.5,212.65,12.7,13.0,393.0,0.0,0.5803728099765274,0.5945242094916349,0.5874485097340811,0.5858619329243812,0.5357998913008806,0.012769690343571748,0.21205333568670603,-0.28223976810454765,12.05,12.25,207.0,257.0,0.5801565805193263,0.5872327462756882,0.5836946633975073,0.5858619329243812,-0.46585972542206144,0.01284173531044206,0.21203258351524035,-0.2611767568927661
AMD,20260320,215.0,212.65,11.45,11.7,991.0,0.0,0.5753236930964224,0.5870314598608989,0.5811775764786606,0.5817852077910569,0.503990592010029,0.01284863867943934,0.21358330064406772,-0.28169550794016196,13.3,13.5,719.0,362.0,0.5729254094982997,0.5822956022064888,0.5776105058523943,0.5817852077910569,-0.4978196213556125,0.012927817518205563,0.2134985798973883,-0.26044790199628487
AMD,20260327,215.0,212.65,12.95,13.3,307.0,0.0,0.5607107093635681,0.5750875961596383,0.5678991527616033,0.5729158019430994,0.512210574874631,0.01143020562899644,0.24348240600834004,-0.24362934287637117,14.7,14.95,200.0,137.0,0.5626422313777212,0.5729158019430994,0.5677790166604103,0.5729158019430994,-0.4899528346260216,0.011515842718335046,0.24338744789441513,-0.2224701800239366
AMD,20260327,210.0,212.65,15.65,15.9,183.0,0.0,0.5687791187590391,0.5854528079473313,0.5771159633531853,0.5804095491147154,0.5687519858783158,0.011120346745689161,0.23995978340722957,-0.24427685589934,12.3,12.55,88.0,579.0,0.5705677401969113,0.5809872722675499,0.5757775062322306,0.5804095491147154,-0.4329751290152677,0.011192332316067942,0.23999998914390552,-0.2233266600600352
AMD,20260821,210.0,212.65,35.55,36.75,40.0,0.0,0.5557413728134663,0.5785709221964905,0.5671561475049784,0.5689074158142765,0.6086040029555776,0.004567310445265887,0.5694043762320362,-0.10152352054281266,29.65,30.1,5.0,2967.0,0.5636528781009391,0.5689146918270526,0.5662837849639959,0.5689074158142765,-0.3975961685746161,0.0046906693364661975,0.5700881472964952,-0.0818859996818766
AVGO,20260320,330.0,330.90000000000003,22.9,23.2,418.0,0.0,,,,0.6724005720237718,0.5459206858516834,0.007114112403928752,0.3294117795765459,-0.500850697608314,21.25,21.75,100.0,6230.0,,,,0.6724005720237718,-0.45544507267366574,0.007149038439542246,0.3294130440872678,-0.4679993058585019
AVGO,20260320,332.5,330.90000000000003,21.55,21.95,20.0,0.0,,,,0.6698809494489443,0.5281507227947658,0.007162114549361417,0.33087693131945173,-0.5007970265547854,22.6,23.0,10.0,78.0,,,,0.6698809494489443,-0.4738909148838026,0.007202836741465733,0.33080593476318043,-0.4676214465398161
AVGO,20260327,330.0,330.90000000000003,24.35,25.05,13.0,0.0,,,,0.6338433556359777,0.5481222313889671,0.0066492784097171,0.3747446307891522,-0.41343738427225674,23.1,23.85,4.0,91.0,,,,0.6338433556359777,-0.4546428076587812,0.006628726712193399,0.37534212592599303,-0.3804309116835114
AVGO,20260327,335.0,330.90000000000003,21.9,22.6,20.0,0.0,,,,0.6294985291543116,0.5147810644373696,0.00671282173264571,0.3783842484748554,-0.4137580088222137,25.4,26.15,11.0,114.0,,,,0.6294985291543116,-0.4877044018237523,0.006685547235817422,0.3787342542997685,-0.3799923231315141
AVGO,20260821,330.0,330.90000000000003,50.45,51.0,10.0,0.0,,,,0.5243801444644557,0.5934246493431332,0.0032193067587539077,0.8934656777726033,-0.1480065220305633,44.5,44.95,0.0,793.0,,,,0.5243801444644557,-0.41366827721377597,0.003312141232649012,0.8939500994779692,-0.11704018736518407
AVGO,20260918,330.0,330.90000000000003,54.7,55.35,36.0,0.0,,,,0.528693106998848,0.6008052339559063,0.0029552699686218762,0.9570425418396908,-0.13860339829049195,47.95,48.65,19.0,1383.0,,,,0.528693106998848,-0.40699819257125414,0.0030510122195058897,0.9581798902066438,-0.10814946988261909
GOOG,20260320,310.0,310.78802490234375,10.6,10.7,377.0,0.0,0.3150021561658515,0.31984179345425195,0.31742197481005174,0.3162452818925389,0.5405043123288651,0.016116831987625316,0.30994494686927965,-0.23098953735848582,9.05,9.15,850.0,4830.0,0.313683803218701,0.32013833553667276,0.31691106937768687,0.3162452818925389,-0.46251705063387005,0.01627906534680923,0.3098769166203077,-0.19995373442591813
GOOG,20260327,310.0,310.92,12.0,12.15,91.0,0.0,0.31228436024404926,0.31652834704066984,0.3144063536423596,0.31391064560246357,0.5417661549103228,0.014233351439886263,0.35344272724902837,-0.2023629942957399,10.2,10.4,17.0,284.0,0.3115415579715186,0.31578708860745436,0.31366432328948646,0.31391064560246357,-0.460727502189052,0.014408576054247082,0.3533338151312435,-0.17164830378737506
GOOG,20260327,315.0,310.92,9.4,9.55,99.0,0.0,0.30616552656151075,0.3103481083170235,0.30825681743926714,0.30836477463367484,0.4696588523791725,0.014507729398279578,0.3585542454949877,-0.19960566425213244,12.65,12.85,24.0,196.0,0.3052544562090352,0.3094508960283302,0.30735267611868267,0.30836477463367484,-0.5352380683852607,0.014734300072319073,0.3574449017787753,-0.16859528733136742
GOOG,20260821,315.0,310.92,31.1,31.35,12.0,0.0,0.35191042162877517,0.3542432552495865,0.3530768384391808,0.35191042162877517,0.5577947370600715,0.005201471670641502,0.8571473906689562,-0.10093236842299902,29.7,29.95,7.0,264.0,0.3494724750980525,0.35239788636994757,0.35093518073400004,0.35191042162877517,-0.45449532811416915,0.005450420536881331,0.8545549853612826,-0.07078835388190896
GOOG,20260918,310.0,310.92,35.95,36.15,11.0,0.0,0.3483745981757838,0.35112860766004,0.3497516029179119,0.3504079677488092,0.5894916499244678,0.004771806446311496,0.9076294294028315,-0.09364552015363614,28.85,29.1,0.0,1005.0,0.34806616090651393,0.3508206050654666,0.34944338298599026,0.3504079677488092,-0.4237718383724449,0.005017623210468233,0.9074823231205791,-0.06421271630484782
GOOG,20260918,315.0,310.92,33.45,33.7,6.0,0.0,0.3473673880278543,0.3495415989183537,0.348454493473104,0.34863892017604237,0.5653852344603177,0.004860039267979612,0.9196132454818624,-0.09373865713011043,31.3,31.6,0.0,358.0,0.34681831438872607,0.3495443009852628,0.3481813076869944,0.34863892017604237,-0.4492033020818143,0.00512819856004493,0.9169337227317378,-0.06408631849589952
PLTR,20260320,135.0,135.49,7.85,7.95,1132.0,0.0,0.5495479296305817,0.5569608771449384,0.55325440338776,0.5498185603165996,0.5417224704038927,0.021299868649791148,0.13488246660411018,-0.16903814900237712,7.0,7.1,330.0,6385.0,0.5447032606836397,0.5521165497561558,0.5484099052198977,0.5498185603165996,-0.459979684812472,0.021429017759211418,0.13487183469408315,-0.1556016130355955
PLTR,20260320,136.0,135.49,7.3,7.45,78.0,0.0,0.5435055723058277,0.5508838212646621,0.5471946967852449,0.5465949170444219,0.5203969817687308,0.021486914330382745,0.1355119846322861,-0.1685843480294249,7.45,7.55,33.0,53.0,0.5423439611214976,0.5497241037162467,0.5460340324188722,0.5465949170444219,-0.48145366717876875,0.021622076089401854,0.13547616077356572,-0.15512575581945764
PLTR,20260327,135.0,135.49,8.6,9.0,847.0,0.0,0.5303258807479061,0.5563354519750773,0.5433306663614916,0.5419328713563698,0.5458710712450024,0.01891163760537868,0.15377679973138925,-0.1464015708854447,7.9,8.15,224.0,467.0,0.5419328713563698,0.5549386129633926,0.5484357421598812,0.5419328713563698,-0.4561825345365591,0.019051911843676102,0.15376992414867274,-0.13301357987491702
PLTR,20260821,135.0,135.49,23.2,23.4,96.0,0.0,0.5832440125299273,0.5887292119671014,0.5859866122485143,0.5847671060641667,0.602817112857476,0.007010947517243343,0.36451020259339373,-0.06697109342326613,20.15,20.35,11.0,1546.0,0.5793035189338576,0.5847830250894436,0.5820432720116506,0.5847671060641667,-0.4046932194720225,0.0072076723591739415,0.36480328787013505,-0.053649481759851625
INTC,20260320,46.0,46.09,2.89,3.0,445.0,0.0,0.604096986296744,0.6389337694011803,0.6215153778489622,0.6223867467537711,0.5405216804004714,0.055355178261785515,0.04591071859978113,-0.06477692403320834,2.75,2.82,93.0,,0.6174149493051296,0.632657022245528,0.6250359857753288,0.6223867467537711,-0.4609960913165282,0.05565201236723131,0.04590817567654426,-0.06020358587047525
INTC,20260320,46.5,46.09,2.66,2.77,160.0,,0.6030516116416635,0.6268451981832633,0.6149484049124634,0.6211700693765895,0.5131133742846649,0.05552468691773743,0.04620894702501177,-0.06494822320090154,3.0,3.25,50.0,,0.6120044685194872,0.6661089243838748,0.6390566964516811,0.6211700693765895,-0.4885352303453284,0.055837386548808675,0.04619678908028835,-0.060349533737245054
INTC,20260327,46.0,46.09,3.15,3.5,112.0,0.0,0.5757906382879016,0.6426449217396726,0.609217780013787,0.6211637662429524,0.5453554493470449,0.04853842798822725,0.052325441470382206,-0.056709683000153,3.1,3.35,33.0,1168.0,0.6107664767347368,0.6585335707678408,0.6346500237512889,0.6211637662429524,-0.4564511988524415,0.04885304575133478,0.05232468184945471,-0.05215471000466643
INTC,20260327,47.0,46.09,2.81,3.05,14.0,0.0,0.5948607254395516,0.640118603032129,0.6174896642358403,0.6197427287846875,0.497362560902366,0.048753621130156306,0.05300447825246968,-0.05709974750946767,3.55,4.0,0.0,210.0,0.5900123501591138,0.6749408506688613,0.6324766004139876,0.6197427287846875,-0.5047292826013894,0.04910702625457464,0.05297143663444448,-0.052480708784850005
INTC,20260821,47.0,46.08,7.6,7.95,9.0,0.0,0.5982683929795309,0.626143271115695,0.6122058320476129,0.6156525305277465,0.5835520136584283,0.019793412656383083,0.12543719529564434,-0.023872761201282344,7.8,8.0,13.0,859.0,0.6054322359096733,0.6213613001541656,0.6133967680319194,0.6156525305277465,-0.42239027691291214,0.02032021847665256,0.125477770344828,-0.019528387299954986
INTC,20260918,46.0,46.08,8.45,8.9,7.0,0.0,0.5836126084489613,0.6175019326461471,0.6005572705475541,0.6110710630893252,0.6102902911994533,0.01818882990735041,0.13259517596376114,-0.021827924499135065,7.65,8.1,15.0,221.0,0.5981540377709007,0.632037314768982,0.6150956762699413,0.6110710630893252,-0.39611677055495725,0.01871874974018203,0.13279100177274117,-0.017611420222123364
INTC,20260918,47.0,46.08,8.05,8.5,41.0,0.0,0.5853548077717501,0.6188074167659703,0.6020811122688602,0.6111045442332129,0.5917459472650538,0.018437811747674088,0.13430787098902286,-0.022038999026543493,8.1,8.5,2.0,3649.0,0.5894839518731706,0.6192165957119169,0.6043502737925437,0.6111045442332129,-0.41493800106466144,0.018995884202622052,0.1343885441039614,-0.01775899671599568
TSM,20260320,385.0,385.95,18.05,18.9,55.0,0.0,0.45489409467338626,0.4770157812029576,0.46595493793817194,0.4627700934487772,0.5368322570065517,0.008951291194132056,0.384345374924834,-0.41308383763146495,17.15,18.05,28.0,31.0,0.4562255619995058,0.47962667986647056,0.4679261209329882,0.4627700934487772,-0.4663659767521792,0.008928743386624619,0.3847187858526553,-0.3681095942622292
TSM,20260320,387.5,385.95,16.7,17.55,38.0,0.0,0.44893040119846733,0.46447558148964574,0.45670299134405656,0.46053766791055073,0.5144956545680681,0.008998740006668933,0.3860449036514346,-0.41225615222424494,18.3,19.7,28.0,97.0,0.4501995434757729,0.48644637181353656,0.4683229576446547,0.46053766791055073,-0.48860284857290753,0.008973921673929235,0.3863655784139368,-0.36692139370638444
